Country Name,region,Image URL,1/3/2020,2/3/2020,3/3/2020,4/3/2020,5/3/2020,6/3/2020,7/3/2020,8/3/2020,9/3/2020,10/3/2020,11/3/2020,12/3/2020,13/3/2020,14/3/2020,15/3/2020,16/3/2020,17/3/2020,18/3/2020,19/3/2020,20/3/2020,21/3/2020,22/3/2020,23/3/2020,24/3/2020,25/3/2020,26/3/2020,27/3/2020,28/3/2020,29/3/2020,30/3/2020,31/3/2020,1/4/2020,2/4/2020,3/4/2020,4/4/2020,5/4/2020,6/4/2020,7/4/2020,8/4/2020,9/4/2020,10/4/2020,11/4/2020,12/4/2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,1/5/2020,2/5/2020,3/5/2020,4/5/2020,5/5/2020,6/5/2020,7/5/2020,8/5/2020,9/5/2020,10/5/2020,11/5/2020,12/5/2020,13/5/2020,14/5/2020,15/5/2020,16/5/2020,17/5/2020,18/5/2020,19/5/2020,20/5/2020,21/5/2020,22/5/2020,23/5/2020,24/5/2020,25/5/2020,26/5/2020,27/5/2020,28/5/2020,29/5/2020,30/5/2020,31-05-2020,1/6/2020,2/6/2020,3/6/2020,4/6/2020,5/6/2020,6/6/2020,7/6/2020,8/6/2020,9/6/2020,10/6/2020,11/6/2020,12/6/2020,13/6/2020,14/6/2020,15/6/2020,16/6/2020,17/6/2020,18/6/2020,19/6/2020,20/6/2020,21/6/2020,22/6/2020,23/6/2020,24/6/2020,25/6/2020,26/6/2020,27/6/2020,28/6/2020,29/6/2020,30/6/2020,1/7/2020,2/7/2020,3/7/2020,4/7/2020,5/7/2020,6/7/2020,7/7/2020,8/7/2020,9/7/2020,10/7/2020,11/7/2020,12/7/2020,13/7/2020,14/7/2020,15/7/2020,16/7/2020,17/7/2020,18/7/2020,19/7/2020,20/7/2020,21/7/2020,22/7/2020,23/7/2020,24/7/2020,25/7/2020,26/7/2020,27/7/2020,28/7/2020,29/7/2020,30/7/2020,31/7/2020,1/8/2020,2/8/2020,3/8/2020,4/8/2020,5/8/2020,6/8/2020,7/8/2020,8/8/2020,9/8/2020,10/8/2020,11/8/2020,12/8/2020,13/8/2020,14/8/2020,15/8/2020,16/8/2020,17/8/2020,18/8/2020,19/8/2020,20/8/2020,21/8/2020,22/8/2020,23/8/2020,24/8/2020,25/8/2020,26/8/2020,27/8/2020,28/8/2020,29/8/2020,30/8/2020,31/8/2020,1/9/2020,2/9/2020,3/9/2020,4/9/2020,5/9/2020,6/9/2020,7/9/2020,8/9/2020,9/9/2020,10/9/2020,12/9/2020,13/9/2020,14/9/2020,15/9/2020,16/9/2020,17/9/2020,19/9/2020,20/9/2020,22/9/2020,23/9/2020,24/9/2020,25/9/2020,26/9/2020,28/9/2020,29/9/2020,30/9/2020,1/10/2020,3/10/2020,5/10/2020,7/10/2020,9/10/2020,10/10/2020,12/10/2020,16/10/2020,18/10/2020,19/10/2020,20/10/2020
Seliana,Tunisia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,10,10,10,10,10,16,16,26,37,39,43,43,43,46,47,52,53,59,60,61,62,62,62,62,,,,,,,,,,,,,,,,,,,,,
Sousse,Tunisia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,5,5,5,6,13,16,17,24,25,25,31,35,41,45,48,52,53,57,51,51,56,61,62,64,64,68,68,71,71,73,74,74,77,78,81,81,82,82,82,82,82,82,82,82,82,82,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,85,85,87,87,87,89,89,89,89,89,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,93,94,94,94,95,95,95,95,95,95,95,95,95,95,95,97,97,97,97,97,99,100,100,101,104,104,106,107,112,112,112,114,114,115,115,115,115,116,116,116,117,118,119,120,120,121,121,126,127,129,132,132,138,139,140,141,145,151,153,160,177,185,192,212,215,230,232,234,252,261,268,274,283,290,296,301,359,381,393,417,431,459,498,515,560,601,679,750,790,831,886,943,,,,,,,,,,,,,,,,,,,,,
Monsatir,Tunisia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,5,5,7,13,14,17,22,25,27,26,26,26,27,27,27,26,26,29,30,34,34,35,35,35,36,36,36,36,38,37,37,37,37,37,37,37,37,37,37,37,37,38,38,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,41,41,41,41,41,41,41,41,41,43,43,43,43,44,44,44,44,44,44,44,44,44,44,44,44,45,45,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48,50,50,50,50,52,52,52,52,52,52,53,53,53,54,54,55,55,57,58,60,60,60,62,63,63,63,63,63,63,63,64,65,65,67,67,67,68,69,69,69,69,69,70,70,70,72,73,76,84,86,88,95,96,103,104,110,123,125,137,146,158,190,222,245,249,303,374,442,517,548,591,632,701,781,,,,,,,,,,,,,,,,,,,,,
Mahdia,Tunisia,,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,7,7,8,8,9,10,11,11,11,11,12,12,12,12,12,12,12,13,13,13,13,15,15,16,15,15,15,15,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,22,22,23,23,24,25,25,25,25,25,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,29,29,30,31,32,32,33,33,33,33,33,34,38,39,39,39,39,39,39,39,39,40,40,40,41,43,44,44,44,44,44,44,44,44,44,44,44,44,44,45,45,45,52,54,57,57,61,61,67,68,69,71,73,76,79,79,80,81,82,82,88,90,101,103,104,110,114,115,,,,,,,,,,,,,,,,,,,,,
Sfax,Tunisia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,5,7,11,11,11,11,14,19,20,20,22,29,29,29,29,30,30,31,31,31,31,31,31,31,31,32,32,34,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,39,39,39,42,42,42,42,42,42,43,43,43,43,43,43,43,43,43,43,43,43,44,44,48,48,48,49,49,49,49,53,58,59,59,59,60,62,62,64,65,66,67,69,69,69,69,70,70,70,70,71,73,80,80,81,81,82,82,82,83,83,87,88,89,91,91,97,97,97,98,99,100,104,106,117,126,132,143,148,150,157,157,163,177,185,190,190,193,199,246,284,320,329,361,375,408,428,,,,,,,,,,,,,,,,,,,,,
Kairouan,Tunisia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,17,17,17,17,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,23,23,29,29,29,31,36,41,41,42,58,63,65,73,78,95,101,103,116,120,122,123,126,132,141,142,145,155,155,155,156,159,160,162,182,185,186,186,186,188,189,189,190,221,225,250,251,262,274,,,,,,,,,,,,,,,,,,,,,
Kasserine,Tunisia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,6,7,7,8,8,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,14,14,14,14,14,14,16,19,19,21,23,23,23,23,23,23,26,26,35,39,41,41,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,47,47,47,47,47,47,51,51,51,51,51,51,51,51,53,53,53,55,55,55,55,56,58,58,58,61,62,62,64,66,66,66,66,66,66,66,67,67,70,71,71,72,73,77,77,82,82,83,87,,,,,,,,,,,,,,,,,,,,,
Sidi Bouzid,Tunisia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,14,14,14,14,15,16,16,16,16,16,16,16,17,18,19,19,19,20,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,27,27,27,27,30,35,45,45,48,58,60,60,66,67,69,77,77,82,82,85,87,96,116,135,162,,,,,,,,,,,,,,,,,,,,,
Gabes,Tunisia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,4,4,4,5,5,5,5,7,7,7,9,9,9,12,12,13,13,15,15,15,15,20,20,21,21,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,26,26,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,37,39,39,39,39,39,39,40,40,41,44,47,53,81,119,149,234,291,331,408,479,527,552,578,612,649,693,714,759,788,808,819,837,877,888,903,910,952,959,963,978,989,1010,1044,1060,1074,1077,1095,1105,1114,,,,,,,,,,,,,,,,,,,,,
Medenine,Tunisia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,5,6,12,14,14,19,19,35,43,46,51,57,58,62,62,62,62,62,62,63,65,66,70,70,81,84,84,84,85,85,85,85,85,86,87,87,87,87,87,88,88,88,88,88,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,91,91,92,92,92,92,92,92,92,92,92,92,92,92,92,92,94,94,94,94,94,97,97,97,97,97,97,97,97,97,97,97,98,98,98,98,98,98,100,100,100,100,100,100,102,103,103,103,103,104,107,109,110,110,111,114,114,115,115,115,116,116,117,117,117,117,118,120,128,130,141,146,146,151,152,152,162,163,164,172,178,181,198,203,207,209,212,216,216,216,221,223,224,224,228,228,231,236,240,245,245,249,256,258,270,289,289,295,301,304,308,,,,,,,,,,,,,,,,,,,,,
